Alpha,Beta,BinaryCondition,Condition,Delta,Gamma,TernaryCondition,Theta
0.6472676284,0.2524162262,Unconscious,Sleeping,2.94736847,0.0976706885,Unconscious,1.0176079445
0.269438946,0.103353103,Conscious,AwakeEyesClosed,0.9675778596,0.036299799,Conscious,0.4074486176
0.5839133594,0.2381094934,Unconscious,Sleeping,2.918743576,0.094037256,Unconscious,0.9547348312
0.2882720574,0.14689057,Conscious,AwakeEyesOpened,1.4792492184,0.0656770233,Conscious,0.504708661
0.6500993805,0.2404668109,Unconscious,Sleeping,3.736881083,0.0934760364,Unconscious,1.1512381189
0.2397758331,0.0852226875,Conscious,AwakeEyesClosed,1.0563778041,0.0319402035,Conscious,0.403293804
0.4423699205,0.160611537,Unconscious,Sleeping,2.1353360151,0.0624276044,Unconscious,0.7527526257
0.3014903373,0.1629179057,Conscious,AwakeEyesOpened,1.653883989,0.0786707878,Conscious,0.5275536688
0.5568602215,0.228421153,Unconscious,Sleeping,3.0588943267,0.0948760556,Unconscious,0.9315169892
0.3154400964,0.1185809906,Conscious,AwakeEyesClosed,1.8439207009,0.0452130217,Conscious,0.5656704247
0.5744913555,0.2253523936,Unconscious,Sleeping,2.9692706446,0.0884136081,Unconscious,0.9686814973
0.2407603174,0.0922434638,Conscious,AwakeEyesClosed,1.114944429,0.0360934371,Conscious,0.4110348102
0.2393405702,0.1271505343,Conscious,AwakeEyesOpened,1.3551418274,0.0535701117,Conscious,0.4378968741
0.4035312972,0.1471901284,Conscious,AwakeEyesClosed,1.7489749074,0.0523363191,Conscious,0.6437037764
0.3611937341,0.1867538209,Conscious,AwakeEyesOpened,2.0845146727,0.0830109385,Conscious,0.6032133688
0.0463723965,0.0217993683,,AnestheticInjection,0.379779519,0.0152569918,InBetween,0.0961496475
0.1164016618,0.0532680743,Unconscious,Anesthetized,1.1801882293,0.0395064759,Unconscious,0.2759975702
0.1547247486,0.0784856927,,RecoveryEyesClosed,1.1139838242,0.0512996182,InBetween,0.2709415438
0.2195207219,0.1051251531,,RecoveryEyesOpened,1.1568039737,0.0575658724,InBetween,0.3716320761
0.4585434685,0.1765034189,Conscious,AwakeEyesClosed,1.8465914894,0.065137599,Conscious,0.7153215054
0.3620498277,0.1938632419,Conscious,AwakeEyesOpened,1.5699636115,0.0909554538,Conscious,0.6059274892
0.1943451101,0.0774105121,,AnestheticInjection,1.5114883122,0.0307439206,InBetween,0.348950173
0.2839430023,0.1115956789,Unconscious,Anesthetized,1.752240578,0.0398444208,Unconscious,0.5595799153
0.354087,0.1370133934,,RecoveryEyesClosed,1.6031671923,0.0540608352,InBetween,0.5421614472
0.3011607088,0.1555998737,,RecoveryEyesOpened,1.5848908237,0.0698823008,InBetween,0.5757733487
0.3704288525,0.1440959782,Conscious,AwakeEyesClosed,1.6626514661,0.0503619623,Conscious,0.5595460654
0.3741862023,0.2065508954,Conscious,AwakeEyesOpened,1.8702958921,0.0923902708,Conscious,0.6405177198
0.1540726101,0.0903729642,,AnestheticInjection,1.7282950465,0.0408216239,InBetween,0.2593013153
0.1641116934,0.0968482224,Unconscious,Anesthetized,1.9873805512,0.0580066688,Unconscious,0.2735004612
0.2544970548,0.1147106863,,RecoveryEyesClosed,1.3361365935,0.0474498302,InBetween,0.3553131582
